song_name,artist_name,genres
#7,"Volkan Öktem, Ercüment Orkut, Sarp Maden, Can Sengun, Serhat Şensesli, Mehmet Akatay",Jazz
#89,Toiret Status,Other
#9,Denied Light,Other;Rock
#9 Blackpool Rock,Plant Bach Annifyr,Other
#92,Toiret Status,Other
#98,Matt Corcoran,Blues
#Atm,Serj Atup,Other
#Atumanera,"Maialem, Boomer",Other
#Bang - Instrumental,Fleep Beatz,Other
#Bestie,Joey Batts & Them,Other
#Boredfreestyle,$moller,Hip-Hop & Rap
#CERTIFIED (feat. DJ Ess) - DJ Ess Mix,"BabyTron, DJ Ess",Hip-Hop & Rap
#CZUAugustLightningComplex,Complete Walkthru,Electronic
#Chains,Reign Mercedes,Hip-Hop & Rap
#Corona,Jonas & The Roots Level Band,Other
#DDDing,"The Darkraver, The Viper, Ross",Other;Punk & Hardcore
#DRILL1AB,Bliznacite,Hip-Hop & Rap
#Disgust: Sleeping Death,Ulysses,Other
#Dubigal,"Ron Sky Nesher, Static, Ben El Tavori, Jordi",Hip-Hop & Rap
#EDVTC (feat. Weedie Mane),"Amber Ngo, Weedie Mane",Hip-Hop & Rap
#Evolução,YVNG CIRIUS,Hip-Hop & Rap
#Experiment01,"Protocol Killic, Apexxxx, Lowly",Hip-Hop & Rap
#F.O.M.P,Prince Forbes,Country & Folk
#FLAITEDRILL,MITOLOKO,Hip-Hop & Rap
#Fallatustavita  feat. Josh Carter,Abiwo,Hip-Hop & Rap;Other
#Free,"Joe Scacchi, Ketama126, Ugo Borghetti, Drone126",Hip-Hop & Rap
#Googledatshit,La KLiKARiA,Hip-Hop & Rap
#Hulahoop,Gros Mo,Hip-Hop & Rap
#IEttBetaltSamarbeteMedDöden,Tvärnitad,Pop
#Imamoproblem3,"King Mire, Genocide, Santos, Makk, Jala Brat, SMA, Sheik Ba, Sajfer",Hip-Hop & Rap
#Iriçaplı,"Uran, Xpert, Ziq Zaq, Paster",Hip-Hop & Rap
#ItAintMe,"Sizzdub, Lil Rick",Other
"#KillaoMagán (feat. Pau FV, Altak, Pgoi & Alandes)","Los Killaos, Joel Mannucci, Martín Mañas, Pau FV, Altak, Pgoi, Alandes",Hip-Hop & Rap
#Killedmorecuntsthancovid,12Gauge Rampage,Metal
#Kingsofuntenrum,Reduction,Punk & Hardcore
#LITO,Press Play,Other
#LaChinaMasLatina,"Gia Gunn, Alaska Thunderfuck",Other
#Layiqiy,"OD, Drek",Hip-Hop & Rap
#Life_Is_Pain,DyoN Joo,Other
#Lit (feat. Nef The Pharaoh),"Top Flite Empire, Nef The Pharaoh",Hip-Hop & Rap
#Mashtag,Darrell Webb Band,Other
#Monkeybars,"Eazy Mac, Cal Scruby",Hip-Hop & Rap
#Nank,Chirayu,Hip-Hop & Rap;Other
#Nank 2,Chirayu,Other
#NoBetterMoment,Artymove,Other
#NurLiebe,Goldfell,Other
#OIMATEWTF,Capture,Electronic
#PHONKFREESTYLE,"DEHA INC., Şehinşah, Reckol, 13 Killoki",Hip-Hop & Rap
#PasDeRéseau3 (Dream),Don'so,Hip-Hop & Rap
#RAF Simone // College,ayron,Hip-Hop & Rap
#RAIN,Patokalipsa,Hip-Hop & Rap
#RICHAXXHAITIAN,"Mach-Hommy, KAYTRANADA, 03 Greedo",Hip-Hop & Rap;Other
#RUready4the<4,JUCK,Pop
#RapSinCorte L,"Foyone, Recycled J, Sceno, Sofía Gabanna, SpokSponha, ToteKing, Dollar Selmouni, EAZYBOI, Elio Toffana, FERNANDOCOSTA",Hip-Hop & Rap
#Reden,"Ansa, Diego Johnsson",Hip-Hop & Rap
#Roastlamafe,La Mafe Mendez,Pop
#Roastlapereztroica,La Pereztroica,Pop
#Rplay - Freestyle,"Yamid Spain, Miguel Miguelo",Hip-Hop & Rap
#Ræstaman,"Metaføriskt, Steso, Swangah",Other
#SF,"Born Paid, #UB7, Chavo, HOSTILE",Hip-Hop & Rap
#Självis,IJustWantToBeCool,Other
#StilleWateren,Appa,Hip-Hop & Rap
#Sweetsixteen,Grace Valhalla,Electronic;Other
#SzuperCsillagParaszt,"ScarcityBP, Mikee Mykanic, Ketioz, Aza",Hip-Hop & Rap
#TEHRAN Radio FM02,#Tehran Band,Rock
#Thahill,Indian Hill,Other
#ThoseDays,Chase Manhattan,Hip-Hop & Rap
#TrueLove,"Fosco Alma, JASMIN",Hip-Hop & Rap
#VZG,Sleepless,Other
#Vsf,"Aiyra, Jáder",Other
#WWBJD,Super Nard,Hip-Hop & Rap
#Wcw (Remix),"Devvon Terrell, Devvon",Hip-Hop & Rap
#Whoami,"Psilocybe Project, Montti",Other
#WildSxmmer⛅️,WhyNotJimi,Hip-Hop & Rap
#Winning,That's Outrageous!,Electronic
#a85400,Ketem,Other
#apénzembeestélbele,"Farkasok, Mr.Busta, AK26",Hip-Hop & Rap
#believe,09PEAS,Other;Pop
#calling,Rene Sens,Electronic
#charles,Djsmb,Other
#claude,Djsmb,Other
#cominghome,Rene Sens,Electronic
#crybaby,PAMELA,Hip-Hop & Rap
#emoanthem,"Snuomy, Sugoi Kimono",Hip-Hop & Rap;Pop
#f19072,monoqlom,Other
"#facepalm (feat. Szpaku, Kvmaty)","Penx, Kvmaty, Szpaku",Hip-Hop & Rap
#fck_being_sober,"dancimnau9, mewxi, kets4eki",Pop
#fight2,Mr. Fight,Hip-Hop & Rap
#ghostwood,Rene Sens,Electronic;Other
#horsérie2,HLD,Hip-Hop & Rap
#icu,JAI/MAHL,World & International
#ihaveafriend,Rene Sens,Electronic
#jugg,Kezo!,Other
#kissmileyes,Rene Sens,Electronic
#leftovers,8R,Classical;Electronic
#múltjelenjövő,"Abraham, Matkovics",Pop
#never,ihatearty,Other
#nofilter,Linni Meister,Electronic
#notcompatible,Rene Sens,Electronic;Other
#pagotrance,Lerry,Other
#rojo Sandía,Andrea Corona,Other
#scream4me,vintagepopstar,Other
#seraphic,latex fruit,Other
#sobreviventes,DPR Do Protesto à Resistência,Punk & Hardcore
#southcityliving,Mathias and the Pirates,Other
#tamotransandodefato,"Lívia Cruz, Rap Box, Léo Casa 1, Djonga",Hip-Hop & Rap
#tb,"015B, Hongbi",Pop
#tellme,Rene Sens,Electronic
#thatPower - from The voice Unplugged @ 538,Gerrie Dantuma,Pop
#thisisatale,Rene Sens,Electronic
#whoareyou,Rene Sens,Electronic
#ÇaPique,T-Jy,Other
#Ялюбовь,План Ломоносова,Rock
#коплюнаферрари,Krestnaya Semya,Hip-Hop & Rap
#ядома,TSYP,Hip-Hop & Rap
#ขอแท็กแฟนเก่า,Tar TorJorWor,Other;Rock
#あくあ色ぱれっと,湊あくあ,Other
#エブリディアソビ - REMIX,"PAIN, Gucci Prince, PVCMVN",Pop
#キミの夢、叶えるのが夢,unders7,Other
#ワンナイトマジック,FunFunFun,Electronic
#情とは,This is LAST,Rock
#推し宣言！,Lunalia,Other
$,"Tukko21, Pikette23, Madafunky",Hip-Hop & Rap
$ Encima E' $,"CXLEGA, Doly Flackko",Hip-Hop & Rap
$$$$,@atutowy,Hip-Hop & Rap
"$1,000 Car",C.Side,Other
"$1,200",Think Machine,Other
$100$,GTBSG,Other
$13 Beers,Chicago Farmer,Country & Folk
$2 Pints,Last False Hope,Other;Punk & Hardcore
$2 Pistol,Houston Marchman,Other
$34,Kentucky John Clay,Other
$4.95,The Lords of Altamont,Punk & Hardcore;Rock
$55 Motel,Vinnie D,Other
$Efu,"Deliric, Silent Strike",Hip-Hop & Rap
$aFE,Yaz thx hommie,Hip-Hop & Rap
$ave Dat Money (feat. Fetty Wap & Rich Homie Quan),"Lil Dicky, Fetty Wap, Rich Homie Quan",Hip-Hop & Rap
$ec$ Allstars,"$ec$, 51 G−Ross, Pre$ley, Koko040, y.accid, Cozy501s, Trapi",Hip-Hop & Rap
$hrek 2,"Lor, Zbigniew Zamachowski",Country & Folk;Other
$o Great,Levan,Pop
$outhSide,Nastie Ink,Hip-Hop & Rap
$uccess,"Mister Mike, CTRIK, Berner, VictoryUs",Hip-Hop & Rap
$uicide King,Abaddon,Metal;Rock
$wAG OUTRO,ayron,Hip-Hop & Rap
& She Takes It,Nihilist Cheerleader,Other
&&&,Erik Nervous,Punk & Hardcore
&amp; Agharta &amp; Paul Maudit - electro-jazz-movy style,Aor Agni,Electronic;Jazz;Other
&quot; Travel Blue&quot; Piano: David Recoing : Février 2016,DAVID RECOING,Classical;Other
&quot; Travelling&quot; Piano : David Recoing: 18 février 2016,DAVID RECOING,Blues;Other
&quot;1848&quot; Piano David Recoing 2010:2015,DAVID RECOING,Classical;Other;World & International
&quot;Blues Orage&quot; Piano/ David Recoing Novembre 2015,DAVID RECOING,Classical;Other;World & International
&quot;Blues balance&quot; Piano/ David Recoing,DAVID RECOING,Blues;Classical;Other
&quot;Grand Large&quot;,DAVID RECOING,Classical;Country & Folk;Other
&quot;Green Taverne&quot;  Piano: David Recoing: 18 février 2016,DAVID RECOING,Classical;Jazz;Other
&quot;Improvisation n°8,DAVID RECOING,Jazz;Other
